Unnamed: 0,type,instruction,input,ref
0,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你吃饭了吗？
B: 吃过了，你呢？","ก: กินข้าวหรือยัง?
ข: กินแล้ว แล้วเธอล่ะ?"
1,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 今天天气很好，我们去散步吧。
B: 好的，我正好也想出去走走。","ก: วันนี้อากาศดี ไปเดินเล่นกันเถอะ
ข: ได้เลย ฉันก็อยากออกไปเดินอยู่พอดี"
2,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你周末有什么计划？
B: 想在家休息，你呢？","ก: เสาร์อาทิตย์นี้มีแผนอะไรไหม?
ข: อยากพักผ่อนอยู่บ้าน แล้วเธอล่ะ?"
3,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢看电影吗？
B: 喜欢，尤其是科幻片。","ก: คุณชอบดูหนังไหม?
ข: ชอบ โดยเฉพาะหนังไซไฟ"
4,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你最近怎么样？
B: 还不错，就是工作有点忙。","ก: ช่วงนี้เป็นยังไงบ้าง?
ข: ก็โอเคนะ แค่ช่วงนี้งานยุ่งหน่อย"
5,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢什么运动？
B: 我喜欢打篮球，你呢？","ก: คุณชอบกีฬาอะไร?
ข: ฉันชอบเล่นบาสเกตบอล แล้วเธอล่ะ?"
6,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你会说英语吗？
B: 会一点，但不太流利。","ก: คุณพูดภาษาอังกฤษได้ไหม?
ข: พูดได้นิดหน่อย แต่ไม่ค่อยคล่อง"
7,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢旅行吗？
B: 喜欢，尤其是去海边。","ก: คุณชอบท่องเที่ยวไหม?
ข: ชอบ โดยเฉพาะไปทะเล"
8,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢听什么音乐？
B: 我喜欢流行音乐，你呢？","ก: คุณชอบฟังเพลงแนวไหน?
ข: ฉันชอบเพลงป็อป แล้วเธอล่ะ?"
9,Conversation-10.json,Translate this casual conversation from Chinese to Thai:,"A: 你喜欢喝茶还是咖啡？
B: 我喜欢喝茶，尤其是绿茶。","ก: คุณชอบดื่มชาหรือกาแฟ?
ข: ฉันชอบดื่มชา โดยเฉพาะชาเขียว"
10,Sentence-20.json,Translate this sentence from Chinese to Thai:,我喜欢学习新语言。,ฉันชอบเรียนรู้ภาษาใหม่ๆ
11,Sentence-20.json,Translate this sentence from Chinese to Thai:,今天天气很好，我们去公园吧。,วันนี้อากาศดี เราไปสวนสาธารณะกันเถอะ
12,Sentence-20.json,Translate this sentence from Chinese to Thai:,请问最近的地铁站在哪里？,ขอโทษครับ สถานีรถไฟใต้ดินที่ใกล้ที่สุดอยู่ที่ไหน?
13,Sentence-20.json,Translate this sentence from Chinese to Thai:,我正在学习如何做泰国菜。,ฉันกำลังเรียนรู้วิธีทำอาหารไทย
14,Sentence-20.json,Translate this sentence from Chinese to Thai:,你喜欢听什么类型的音乐？,คุณชอบฟังเพลงประเภทไหน?
15,Sentence-20.json,Translate this sentence from Chinese to Thai:,这个周末我们打算去海边度假。,สุดสัปดาห์นี้เราวางแผนจะไปพักผ่อนที่ชายทะเล
16,Sentence-20.json,Translate this sentence from Chinese to Thai:,我每天早上都会跑步锻炼身体。,ฉันวิ่งออกกำลังกายทุกเช้า
17,Sentence-20.json,Translate this sentence from Chinese to Thai:,请帮我推荐一些好看的电影。,ช่วยแนะนำหนังดีๆ ให้ฉันหน่อย
18,Sentence-20.json,Translate this sentence from Chinese to Thai:,我想报名参加一个泰语学习班。,ฉันอยากสมัครเรียนคอร์สภาษาไทย
19,Sentence-20.json,Translate this sentence from Chinese to Thai:,你觉得这本书怎么样？,คุณคิดว่า หนังสือเล่มนี้เป็นอย่างไร?
20,Sentence-20.json,Translate this sentence from Thai to Chinese:,คุณคิดว่า หนังสือเล่มนี้เป็นอย่างไร?,你觉得这本书怎么样？
21,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันอยากสมัครเรียนคอร์สภาษาไทย,我想报名参加一个泰语学习班。
22,Sentence-20.json,Translate this sentence from Thai to Chinese:,ช่วยแนะนำหนังดีๆ ให้ฉันหน่อย,请帮我推荐一些好看的电影。
23,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันวิ่งออกกำลังกายทุกเช้า,我每天早上都会跑步锻炼身体。
24,Sentence-20.json,Translate this sentence from Thai to Chinese:,สุดสัปดาห์นี้เราวางแผนจะไปพักผ่อนที่ชายทะเล,这个周末我们打算去海边度假。
25,Sentence-20.json,Translate this sentence from Thai to Chinese:,คุณชอบฟังเพลงประเภทไหน?,你喜欢听什么类型的音乐？
26,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันกำลังเรียนรู้วิธีทำอาหารไทย,我正在学习如何做泰国菜。
27,Sentence-20.json,Translate this sentence from Thai to Chinese:,ขอโทษครับ สถานีรถไฟใต้ดินที่ใกล้ที่สุดอยู่ที่ไหน?,请问最近的地铁站在哪里？
28,Sentence-20.json,Translate this sentence from Thai to Chinese:,วันนี้อากาศดี เราไปสวนสาธารณะกันเถอะ,今天天气很好，我们去公园吧。
29,Sentence-20.json,Translate this sentence from Thai to Chinese:,ฉันชอบเรียนรู้ภาษาใหม่ๆ,我喜欢学习新语言。
30,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""login"": ""登录"", ""logout"": ""退出"", ""welcome"": ""欢迎 {username}""}","{""login"": ""เข้าสู่ระบบ"", ""logout"": ""ออกจากระบบ"", ""welcome"": ""ยินดีต้อนรับ {username}""}"
31,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""submit"": ""提交"", ""cancel"": ""取消"", ""retry"": ""重试""}","{""submit"": ""ยืนยัน"", ""cancel"": ""ยกเลิก"", ""retry"": ""ลองใหม่""}"
32,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""settings"": ""设置"", ""language"": ""语言"", ""notifications"": ""通知""}","{""settings"": ""การตั้งค่า"", ""language"": ""ภาษา"", ""notifications"": ""การแจ้งเตือน""}"
33,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""profile"": ""个人资料"", ""edit"": ""编辑"", ""save"": ""保存""}","{""profile"": ""โปรไฟล์ส่วนตัว"", ""edit"": ""แก้ไข"", ""save"": ""บันทึก""}"
34,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""search"": ""搜索"", ""filter"": ""筛选"", ""sort"": ""排序""}","{""search"": ""ค้นหา"", ""filter"": ""กรอง"", ""sort"": ""จัดเรียง""}"
35,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""home"": ""首页"", ""back"": ""返回"", ""next"": ""下一步""}","{""home"": ""หน้าแรก"", ""back"": ""ย้อนกลับ"", ""next"": ""ถัดไป""}"
36,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""error"": ""错误"", ""success"": ""成功"", ""loading"": ""加载中...""}","{""error"": ""ข้อผิดพลาด"", ""success"": ""สำเร็จ"", ""loading"": ""กำลังโหลด...""}"
37,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""username"": ""用户名"", ""password"": ""密码"", ""email"": ""电子邮件""}","{""username"": ""ชื่อผู้ใช้"", ""password"": ""รหัสผ่าน"", ""email"": ""อีเมล""}"
38,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""cart"": ""购物车"", ""checkout"": ""结账"", ""total"": ""总计: {amount}""}","{""cart"": ""รถเข็น"", ""checkout"": ""ชำระเงิน"", ""total"": ""รวม: {amount}""}"
39,UI-10.json,Translate these app UI strings from Chinese to Thai in .json format; keep placeholders unchanged:,"{""help"": ""帮助"", ""contact"": ""联系我们"", ""faq"": ""常见问题""}","{""help"": ""ช่วยเหลือ"", ""contact"": ""ติดต่อเรา"", ""faq"": ""คำถามที่พบบ่อย""}"
40,domain-20.json,Translate this technology phrase from Chinese to Thai:,人工智能,ปัญญาประดิษฐ์
41,domain-20.json,Translate this technology phrase from Chinese to Thai:,区块链,บล็อกเชน
42,domain-20.json,Translate this technology phrase from Chinese to Thai:,大数据,ข้อมูลขนาดใหญ่
43,domain-20.json,Translate this technology phrase from Chinese to Thai:,云计算,การประมวลผลแบบคลาวด์
44,domain-20.json,Translate this technology phrase from Chinese to Thai:,物联网,อินเทอร์เน็ตของสรรพสิ่ง
45,domain-20.json,Translate this technology phrase from Chinese to Thai:,机器学习,การเรียนรู้ของเครื่อง
46,domain-20.json,Translate this technology phrase from Chinese to Thai:,深度学习,การเรียนรู้เชิงลึก
47,domain-20.json,Translate this technology phrase from Chinese to Thai:,自然语言处理,การประมวลผลภาษาธรรมชาติ
48,domain-20.json,Translate this technology phrase from Chinese to Thai:,计算机视觉,การมองเห็นด้วยคอมพิวเตอร์
49,domain-20.json,Translate this technology phrase from Chinese to Thai:,虚拟现实,ความเป็นจริงเสมือน
50,domain-20.json,Translate this technology phrase from Thai to Chinese:,ปัญญาประดิษฐ์,人工智能
51,domain-20.json,Translate this technology phrase from Thai to Chinese:,บล็อกเชน,区块链
52,domain-20.json,Translate this technology phrase from Thai to Chinese:,ข้อมูลขนาดใหญ่,大数据
53,domain-20.json,Translate this technology phrase from Thai to Chinese:,การประมวลผลแบบคลาวด์,云计算
54,domain-20.json,Translate this technology phrase from Thai to Chinese:,อินเทอร์เน็ตของสรรพสิ่ง,物联网
55,domain-20.json,Translate this technology phrase from Thai to Chinese:,การเรียนรู้ของเครื่อง,机器学习
56,domain-20.json,Translate this technology phrase from Thai to Chinese:,การเรียนรู้เชิงลึก,深度学习
57,domain-20.json,Translate this technology phrase from Thai to Chinese:,การประมวลผลภาษาธรรมชาติ,自然语言处理
58,domain-20.json,Translate this technology phrase from Thai to Chinese:,การมองเห็นด้วยคอมพิวเตอร์,计算机视觉
59,domain-20.json,Translate this technology phrase from Thai to Chinese:,ความเป็นจริงเสมือน,虚拟现实
60,domain-20_2.json,Translate this social media phrase to Thai:,Like and Share,กดถูกใจและแชร์
61,domain-20_2.json,Translate this social media phrase to Thai:,Follow me,ติดตามฉัน
62,domain-20_2.json,Translate this social media phrase to Thai:,Trending Now,กำลังมาแรงตอนนี้
63,domain-20_2.json,Translate this social media phrase to Thai:,Tag your friends,แท็กเพื่อนของคุณ
64,domain-20_2.json,Translate this social media phrase to Thai:,New Post,โพสต์ใหม่
65,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,点赞并分享,กดถูกใจและแชร์
66,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,关注我,ติดตามฉัน
67,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,正在流行,กำลังมาแรงตอนนี้
68,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,标记你的朋友,แท็กเพื่อนของคุณ
69,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,新帖子,โพสต์ใหม่
70,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,5G网络,เครือข่าย 5G
71,domain-20_2.json,Translate this social media phrase from Chinese to Thai:,智能手机,สมาร์ทโฟน
72,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,可穿戴设备,อุปกรณ์สวมใส่ได้
73,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,增强现实,ความเป็นจริงเสริม
74,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,无人驾驶,การขับขี่อัตโนมัติ
75,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,边缘计算,การประมวลผลที่ขอบเครือข่าย
76,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,量子计算,การประมวลผลควอนตัม
77,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,机器人技术,เทคโนโลยีหุ่นยนต์
78,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,智能家居,บ้านอัจฉริยะ
79,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,数字货币,สกุลเงินดิจิทัล
80,domain-20_2.json,Translate this technology phrase from Chinese to Thai:,网络安全,ความปลอดภัยทางไซเบอร์
81,idiom_20.json,Translate this Thai idiom to Chinese:,น้ำขึ้นให้รีบตัก,趁热打铁
82,idiom_20.json,Translate this Thai idiom to Chinese:,จับปลาสองมือ,一心二用
83,idiom_20.json,Translate this Thai idiom to Chinese:,เข้าเมืองตาหลิ่ว ต้องหลิ่วตาตาม,入乡随俗
84,idiom_20.json,Translate this Thai idiom to Chinese:,น้ำลดตอผุด,真相大白
85,idiom_20.json,Translate this Thai idiom to Chinese:,ช้าๆ ได้พร้าเล่มงาม,欲速则不达
86,idiom_20.json,Translate this Thai idiom to Chinese:,ตีงูให้หลังหัก,一击即中
87,idiom_20.json,Translate this Thai idiom to Chinese:,ตำน้ำพริกละลายแม่น้ำ,徒劳无功
88,idiom_20.json,Translate this Thai idiom to Chinese:,น้ำท่วมปาก,守口如瓶
89,idiom_20.json,Translate this Thai idiom to Chinese:,จับแพะชนแกะ,强行凑合
90,idiom_20.json,Translate this Thai idiom to Chinese:,วัวหายล้อมคอก,亡羊补牢
91,idiom_20.json,Translate this Thai idiom to Chinese:,ปิดทองหลังพระ,默默无闻地做好事
92,idiom_20.json,Translate this Thai idiom to Chinese:,น้ำพึ่งเรือ เสือพึ่งป่า,相互依赖
93,idiom_20.json,Translate this Thai idiom to Chinese:,ตาไม่ถึง,目光短浅
94,idiom_20.json,Translate this Thai idiom to Chinese:,จับปลาหลายมือ,贪多嚼不烂
95,idiom_20.json,Translate this Thai idiom to Chinese:,ขี่ช้างจับตั๊กแตน,大材小用
96,idiom_20.json,Translate this Thai idiom to Chinese:,หมูในอวย,唾手可得的东西
97,idiom_20.json,Translate this Thai idiom to Chinese:,ตีงูให้หลังหัก,一击即中
98,idiom_20.json,Translate this Thai idiom to Chinese:,ขวานผ่าซาก,直截了当
99,idiom_20.json,Translate this Thai idiom to Chinese:,กวนน้ำให้ขุ่น,搅浑水
100,idiom_20.json,Translate this Thai idiom to Chinese:,ขี่ช้างจับตั๊กแตน,杀鸡用牛刀
101,idiom_20zhth.json,Translate this Chinese idiom to Thai:,画蛇添足,วาดงูแล้วเติมขา
102,idiom_20zhth.json,Translate this Chinese idiom to Thai:,入乡随俗,เข้าเมืองตาหลิ่ว ต้องหลิ่วตาตาม
103,idiom_20zhth.json,Translate this Chinese idiom to Thai:,一心二用,จับปลาสองมือ
104,idiom_20zhth.json,Translate this Chinese idiom to Thai:,守口如瓶,น้ำท่วมปาก
105,idiom_20zhth.json,Translate this Chinese idiom to Thai:,亡羊补牢,วัวหายล้อมคอก
106,idiom_20zhth.json,Translate this Chinese idiom to Thai:,真相大白,น้ำลดตอผุด
107,idiom_20zhth.json,Translate this Chinese idiom to Thai:,欲速则不达,ช้าๆ ได้พร้าเล่มงาม
108,idiom_20zhth.json,Translate this Chinese idiom to Thai:,趁热打铁,น้ำขึ้นให้รีบตัก
109,idiom_20zhth.json,Translate this Chinese idiom to Thai:,徒劳无功,ตำน้ำพริกละลายแม่น้ำ
110,idiom_20zhth.json,Translate this Chinese idiom to Thai:,一击即中,ตีงูให้หลังหัก
111,idiom_20zhth.json,Translate this Chinese idiom to Thai:,强行凑合,จับแพะชนแกะ
112,idiom_20zhth.json,Translate this Chinese idiom to Thai:,画龙点睛,เติมน้ำตาลบนปลายขนมจีน
113,idiom_20zhth.json,Translate this Chinese idiom to Thai:,刻舟求剑,ทำเครื่องหมายบนเรือเพื่อหาดาบ
114,idiom_20zhth.json,Translate this Chinese idiom to Thai:,守株待兔,เฝ้าต้นไม้รอรับกระต่าย
115,idiom_20zhth.json,Translate this Chinese idiom to Thai:,盲人摸象,คนตาบอดจับช้าง
116,idiom_20zhth.json,Translate this Chinese idiom to Thai:,自相矛盾,ขัดแย้งกับตัวเอง
117,idiom_20zhth.json,Translate this Chinese idiom to Thai:,杯弓蛇影,ตกใจเพราะเห็นเงา
118,idiom_20zhth.json,Translate this Chinese idiom to Thai:,纸上谈兵,พูดคุยเกี่ยวกับการทำสงครามบนกระดาษ
119,idiom_20zhth.json,Translate this Chinese idiom to Thai:,刻骨铭心,จารึกในกระดูกและใจ
120,idiom_20zhth.json,Translate this Chinese idiom to Thai:,风马牛不相及,ม้าลมและวัวไม่เกี่ยวข้องกัน
121,idiom_20zhth.json,Translate this Chinese idiom to Thai:,鹤立鸡群,นกกระเรียนยืนอยู่ในฝูงไก่
122,idiom_20zhth.json,Translate this Chinese idiom to Thai:,井底之蛙,กบในบ่อน้ำ
123,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of people unchanged (answer in json format):,"{""sentence"": ""小明和小红去市场。""}","{""sentence"": ""小明 และ 小红 ไปตลาด.""}"
124,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of people unchanged (answer in json format):,"{""sentence"": ""李雷向韩梅梅打招呼。""}","{""sentence"": ""李雷 ทักทาย 韩梅梅.""}"
125,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of people unchanged (answer in json format):,"{""sentence"": ""王强和赵丽计划旅行。""}","{""sentence"": ""王强 และ 赵丽 กำลังวางแผนเดินทาง.""}"
126,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of people unchanged (answer in json format):,"{""sentence"": ""陈刚和刘芳在公园散步。""}","{""sentence"": ""陈刚 และ 刘芳 เดินเล่นในสวนสาธารณะ.""}"
127,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of people unchanged (answer in json format):,"{""sentence"": ""张伟和李娜一起学习中文。""}","{""sentence"": ""张伟 และ 李娜 เรียนภาษาจีนด้วยกัน.""}"
128,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of city unchanged (answer in json format):,"{""sentence"": ""我下个月要去北京出差。""}","{""sentence"": ""ฉันเดือนหน้าจะไป 北京 ทำงาน.""}"
129,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of city unchanged (answer in json format):,"{""sentence"": ""上海是一个很大的城市。""}","{""sentence"": ""上海 เป็นเมืองที่ใหญ่.""}"
130,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of city unchanged (answer in json format):,"{""sentence"": ""他们计划从广州去深圳旅行。""}","{""sentence"": ""พวกเขาวางแผนเดินทางจาก 广州 ไป 深圳.""}"
131,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of city unchanged (answer in json format):,"{""sentence"": ""我喜欢在成都吃火锅。""}","{""sentence"": ""ฉันชอบกินหม้อไฟที่ 成都.""}"
132,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of city unchanged (answer in json format):,"{""sentence"": ""杭州的西湖非常美丽。""}","{""sentence"": ""ทะเลสาบ 西湖 ใน 杭州 สวยงามมาก.""}"
133,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of company unchanged (answer in json format):,"{""sentence"": ""我在微软公司工作。""}","{""sentence"": ""ฉันทำงานที่ บริษัท 微软.""}"
134,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of company unchanged (answer in json format):,"{""sentence"": ""苹果公司发布了新款手机。""}","{""sentence"": ""บริษัท 苹果 เปิดตัวโทรศัพท์มือถือรุ่นใหม่.""}"
135,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of company unchanged (answer in json format):,"{""sentence"": ""谷歌是全球最大的搜索引擎公司。""}","{""sentence"": ""谷歌 เป็นบริษัทเครื่องมือค้นหาที่ใหญ่ที่สุดในโลก.""}"
136,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of company unchanged (answer in json format):,"{""sentence"": ""我正在申请亚马逊的职位。""}","{""sentence"": ""ฉันกำลังสมัครงานที่ 亚马逊.""}"
137,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of company unchanged (answer in json format):,"{""sentence"": ""特斯拉的电动汽车很受欢迎。""}","{""sentence"": ""รถยนต์ไฟฟ้าของ 特斯拉 เป็นที่นิยมมาก.""}"
138,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of book unchanged (answer in json format):,"{""sentence"": ""我正在读《红楼梦》。""}","{""sentence"": ""ฉันกำลังอ่าน 《红楼梦》.""}"
139,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of book unchanged (answer in json format):,"{""sentence"": ""《三国演义》是中国古代四大名著之一。""}","{""sentence"": ""《三国演义》 เป็นหนึ่งในสี่วรรณกรรมคลาสสิกของจีนโบราณ.""}"
140,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of book unchanged (answer in json format):,"{""sentence"": ""我喜欢《哈利·波特》系列小说。""}","{""sentence"": ""ฉันชอบนวนิยายชุด 《哈利·波特》.""}"
141,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of book unchanged (answer in json format):,"{""sentence"": ""《西游记》讲述了唐僧取经的故事。""}","{""sentence"": ""《西游记》 เล่าเรื่องราวการเดินทางของ 唐僧 เพื่อขอพระไตรปิฎก.""}"
142,partial_01.json,Translate the following Chinese phrase into Thai while keeping names of book unchanged (answer in json format):,"{""sentence"": ""《水浒传》描写了宋江领导的农民起义。""}","{""sentence"": ""《水浒传》 บรรยายการก่อกบฏของชาวนาที่นำโดย 宋江.""}"
143,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of city unchanged (answer in json format):,"{""sentence"": ""ฉันจะไปกรุงเทพในเดือนหน้า""}","{""sentence"": ""我下个月要去 กรุงเทพ.""}"
144,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of city unchanged (answer in json format):,"{""sentence"": ""เชียงใหม่เป็นเมืองที่สวยงาม""}","{""sentence"": ""เชียงใหม่ 是一个美丽的城市.""}"
145,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of city unchanged (answer in json format):,"{""sentence"": ""พวกเขาวางแผนเดินทางจากภูเก็ตไปพัทยา""}","{""sentence"": ""他们计划从 ภูเก็ต 去 พัทยา 旅行.""}"
146,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of city unchanged (answer in json format):,"{""sentence"": ""ฉันชอบกินส้มตำที่อุดรธานี""}","{""sentence"": ""我喜欢在 อุดรธานี 吃青木瓜沙拉.""}"
147,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of city unchanged (answer in json format):,"{""sentence"": ""ทะเลสาบอินเลในเมียนมาร์สวยงามมาก""}","{""sentence"": ""ทะเลสาบ อินเล ใน เมียนมาร์ 非常美丽.""}"
148,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of people unchanged (answer in json format):,"{""sentence"": ""สมชายและสมหญิงไปตลาด""}","{""sentence"": ""สมชาย 和 สมหญิง 去市场.""}"
149,partial_02.json,Translate the following Thai phrase into Chinese while keeping names of people unchanged (answer in json format):,"{""sentence"": ""วิชัยทักทายสุนีย์""}","{""sentence"": ""วิชัย 向 สุนีย์ 打招呼.""}"
